"nombre","fecha","tempMax","tempMin","descripcion","vientoMin","vientoMax"
"Hoy","6 Ago","31°","24°","Nubes y claros","16","41"
"Mañana","7 Ago","31°","24°","Nubes y claros","16","40"
"Viernes","8 Ago","32°","24°","Calima","18","46"
"Sábado","9 Ago","33°","26°","Calima","15","39"
"Domingo","10 Ago","33°","25°","Calima","14","39"
"Lunes","11 Ago","34°","25°","Neblina","15","39"
"Martes","12 Ago","35°","25°","Soleado","15","41"
"Miércoles","13 Ago","35°","26°","Soleado","15","41"
"Jueves","14 Ago","33°","25°","Nubes y claros","15","41"
"Viernes","15 Ago","31°","25°","Nubes y claros","14","40"
"Sábado","16 Ago","30°","25°","Soleado","15","35"
"Domingo","17 Ago","30°","22°","Soleado","17","38"
"Lunes","18 Ago","31°","24°","Nubes y claros","16","37"
"Martes","19 Ago","31°","24°","Nubes y claros","17","38"
