"number","name","height","floors","city","country"
"1","Burj Khalifa","828.0","163 (+ 2 below ground)","Dubai","United Arab Emirates"
"2","Merdeka 118","678.9","118 (+ 5 below ground)","Kuala Lumpur","Malaysia"
"3","Shanghai Tower","632.0","128 (+ 5 below ground)","Shanghai","China"
"4","The Clock Towers","601.0","120 (+ 3 below ground)","Mecca","Saudi Arabia"
"5","Ping An International Finance Centre","599.1","115 (+ 5 below ground)","Shenzhen","China"
"6","Lotte World Tower","554.5","123 (+ 6 below ground)","Seoul","South Korea"
"7","One World Trade Center","541.3","94 (+ 5 below ground)","New York City","United States"
"8","Guangzhou CTF Finance Centre","530.0","111 (+ 5 below ground)","Guangzhou","China"
10,"Tianjin CTF Finance Centre","530.0","111 (+ 5 below ground)","Guangzhou","China"
11,"10","530.0","111 (+ 5 below ground)","Guangzhou","China"
"11","Taipei 101","508.0","101 (+ 5 below ground)","Taipei","Taiwan"
"12","Shanghai World Financial Center","492.0","101 (+ 3 below ground)","Shanghai","China"
"13","International Commerce Centre","484.0","108 (+ 4 below ground)","Hong Kong","Hong Kong"
"14","Wuhan Greenland Center","475.6","101 (+ 6 below ground)","Wuhan","China"
"15","Central Park Tower","472.4","98 (+ 4 below ground)","New York City","United States"
"16","Lakhta Center","462.0","87 (+ 3 below ground)","Saint Petersburg","Russia"
"17","Landmark 81","461.2","81 (+ 3 below ground)","Ho Chi Minh City","Vietnam"
"18","Chongqing International Land-Sea Center","458.0","98 (+ 4 below ground)","Chongqing","China"
"19","The Exchange 106","453.6","95 (+ 6 below ground)","Kuala Lumpur","Malaysia"
"20","Changsha IFS Tower T1","452.1","94 (+ 5 below ground)","Changsha","China"
"21","Petronas Tower 1","451.9","88 (+ 5 below ground)","Kuala Lumpur","Malaysia"
23,"Petronas Tower 2","451.9","88 (+ 5 below ground)","Kuala Lumpur","Malaysia"
"23","Zifeng Tower","450.0","89 (+ 5 below ground)","Nanjing","China"
25,"Suzhou IFS","450.0","89 (+ 5 below ground)","Nanjing","China"
26,"25","450.0","89 (+ 5 below ground)","Nanjing","China"
"26","Willis Tower","442.1","108 (+ 3 below ground)","Chicago","United States"
"27","KK100","441.8","98 (+ 4 below ground)","Shenzhen","China"
29,"28","441.8","98 (+ 4 below ground)","Shenzhen","China"
"29","111 West 57th Street","435.3","84 (+ 2 below ground)","New York City","United States"
"30","Shandong International Financial Center","428","88 (+ 4 below ground)","Jinan","China"
"31","One Vanderbilt","427.0","62 (+ 4 below ground)","New York City","United States"
"32","Nanjing Financial City Phase II Plot C Tower 1","426","88","Nanjing","China"
"33","432 Park Avenue","425.7","85 (+ 3 below ground)","New York City","United States"
"34","Marina 101","425.0","101 (+ 6 below ground)","Dubai","United Arab Emirates"
"35","Trump International Hotel and Tower","423.2","98 (+ 2 below ground)","Chicago","United States"
"36","JPMorgan Chase World Headquarters","423","60","New York City","United States"
"37","Minying International Trade Center 1","422.6","85 (+ 3 below ground)","Dongguan","China"
39,"38","422.6","85 (+ 3 below ground)","Dongguan","China"
"39","Princess Tower","413.4","101 (+ 6 below ground)","Dubai","United Arab Emirates"
"40","Al Hamra Tower","412.6","80 (+ 3 below ground)","Kuwait City","Kuwait"
"41","Two International Finance Centre","412.0","88 (+ 6 below ground)","Hong Kong","Hong Kong"
"42","Haeundae LCT The Sharp Landmark Tower","411.6","101 (+ 5 below ground)","Busan","South Korea"
"43","Ningbo Central Plaza","409","80","Ningbo","China"
45,"44","409","80","Ningbo","China"
46,"45","409","80","Ningbo","China"
"46","Iconic Tower","393.8","77 (+ 2 below ground)","New Administrative Capital","Egypt"
"47","China Merchants Bank Global Headquarters Main Tower","393","77","Shenzhen","China"
49,"48","393","77","Shenzhen","China"
"49","23 Marina","392.4","88 (+ 4 below ground)","Dubai","United Arab Emirates"
"50","CITIC Plaza","390.2","80 (+ 2 below ground)","Guangzhou","China"
52,"51","390.2","80 (+ 2 below ground)","Guangzhou","China"
53,"52","390.2","80 (+ 2 below ground)","Guangzhou","China"
"53","30 Hudson Yards","387.1","73 (+ 1 below ground)","New York City","United States"
"54","Public Investment Fund Tower","385.0","72 (+ 4 below ground)","Riyadh","Saudi Arabia"
"55","Shun Hing Square","384.0","69 (+ 3 below ground)","Shenzhen","China"
57,"56","384.0","69 (+ 3 below ground)","Shenzhen","China"
"57","Autograph Tower","382.9","75 (+ 6 below ground)","Jakarta","Indonesia"
"58","Logan Century Center 1","381.3","82 (+ 4 below ground)","Nanning","China"
"59","Burj Mohammed bin Rashid","381.2","88 (+ 5 below ground)","Abu Dhabi","United Arab Emirates"
"60","Empire State Building","381.0","102 (+ 1 below ground)","New York City","United States"
"61","Elite Residence","380.5","87 (+ 4 below ground)","Dubai","United Arab Emirates"
"62","Riverview Plaza","376.0","73 (+ 3 below ground)","Wuhan","China"
64,"63","376.0","73 (+ 3 below ground)","Wuhan","China"
65,"64","376.0","73 (+ 3 below ground)","Wuhan","China"
"65","Central Plaza","373.9","78 (+ 3 below ground)","Hong Kong","Hong Kong"
"66","Federation Tower (East Tower)","373.7","93 (+ 4 below ground)","Moscow","Russia"
"67","Hengfeng Guiyang Center Tower 1","373.5","77 (+ 5 below ground)","Guiyang","China"
69,"68","373.5","77 (+ 5 below ground)","Guiyang","China"
70,"69","373.5","77 (+ 5 below ground)","Guiyang","China"
71,"Address Boulevard","373.5","77 (+ 5 below ground)","Guiyang","China"
