"nombre","fecha","tempMax","tempMin","descripcion","vientoMin","vientoMax"
"Hoy","30 Jun","31°","23°","Nubes y claros","15","39"
"Mañana","1 Jul","33°","20°","Soleado","16","40"
"Miércoles","2 Jul","31°","23°","Soleado","16","41"
"Jueves","3 Jul","30°","23°","Nubes y claros","15","41"
"Viernes","4 Jul","31°","22°","Soleado","15","41"
"Sábado","5 Jul","31°","21°","Soleado","16","41"
"Domingo","6 Jul","31°","21°","Soleado","16","43"
"Lunes","7 Jul","30°","22°","Soleado","14","41"
"Martes","8 Jul","30°","22°","Nubes y claros","15","42"
"Miércoles","9 Jul","30°","22°","Nubes y claros","15","43"
"Jueves","10 Jul","31°","22°","Soleado","15","36"
"Viernes","11 Jul","31°","23°","Nubes y claros","15","35"
"Sábado","12 Jul","30°","21°","Soleado","14","33"
"Domingo","13 Jul","30°","23°","Nubes y claros","16","38"
