"nombre","fecha","tempMax","tempMin","descripcion","vientoMin","vientoMax"
"Hoy","18 Jul","33°","23°","Soleado","14","37"
"Mañana","19 Jul","31°","24°","Nubes y claros","16","41"
"Domingo","20 Jul","31°","24°","Nubes y claros","16","41"
"Lunes","21 Jul","31°","24°","Nubes y claros","15","40"
"Martes","22 Jul","32°","23°","Nubes y claros","13","37"
"Miércoles","23 Jul","33°","22°","Soleado","13","35"
"Jueves","24 Jul","32°","24°","Soleado","13","41"
"Viernes","25 Jul","32°","25°","Nubes y claros","17","46"
"Sábado","26 Jul","32°","25°","Soleado","14","44"
"Domingo","27 Jul","33°","24°","Soleado","12","40"
"Lunes","28 Jul","33°","24°","Nubes y claros","14","35"
"Martes","29 Jul","31°","25°","Nubes y claros","15","36"
"Miércoles","30 Jul","31°","24°","Nubes y claros","15","34"
"Jueves","31 Jul","30°","23°","Nubes y claros","15","35"
